Timestamp,Sender Redacted,Recipients Redacted,Filters,SMS Message Type,Preview
XX/XX/2015  10:51:24,1347XXXX667,1915XXXX661,"Blocking Filter F , Suspicious Filter R",SMPP-AO,Wow!  members flirted with you at REDACTED View them! http:// REDACTED/jcDkR Reply STOP to unsubscribe
XX/XX/2015  09:45:48,1630XXXX312,1915XXXX896,Blocking Filter U,SMPP-AO,You were picked to test the Galaxy S4 or Iphone 6 before they come out. Go to www.sendREDACTED.com to get it now
XX/XX/2015  10:22:07,1347XXXX337,1915XXXX722,Suspicious Filter R,SMPP-AO,Local  girls  found:  view their photos: http:// REDACTED/AMULK Reply STOP to unsubscribe
XX/XX/2015  08:44:07,1505XXXX796,1915XXXX746,Blocking Filter F,SMPP-AO,Do you have 2 or more outstanding payday loans? We can help get rid of them. Call XXXXXXXXXX This is not a loan program Reply Quit 4 removal
XX/XX/2015  10:54:07,1347XXXX041,1915XXXX985,"Blocking Filter F , Suspicious Filter R",SMPP-AO,Wow!  members flirted with you at REDACTED View them! http:// REDACTED/Ix7Dv Reply STOP to unsubscribe
XX/XX/2015  08:09:27,1415XXXX622,1915XXXX334,"Blocking Filter F , Blocking Filter U",SMPP-AO,You were picked to test the Iphone 6 before its released and keep it. Enter your info at www.REDACTED.com to get it now
XX/XX/2015  09:08:09,1386XXXX040,1915XXXX981,Blocking Filter F,SMPP-AO,Do you have 2 or more outstanding cash advances? We can help get rid of them. Call XXXXXXXXXX This is not a loan program or Reply Quit
XX/XX/2015  10:56:55,1347XXXX704,1915XXXX831,"Blocking Filter F , Suspicious Filter R",SMPP-AO,Wow!  members flirted with you at REDACTED View them! http:// REDACTED/jjcOi Reply STOP to unsubscribe
XX/XX/2015  08:44:07,1317XXXX075,1915XXXX336,Blocking Filter F,SMPP-AO,"Too many cash advances? End Fees & Interest now, get 75% back each month! Stop auto-drafts & keep YOUR MONEY. Call XXXXXXX302 or Reply Quit"
XX/XX/2015  10:17:16,1347XXXX006,1915XXXX013,Suspicious Filter R,SMPP-AO,Local  girls  found:  view their photos: http:// REDACTED/3Ry6p Reply STOP to unsubscribe
XX/XX/2015  08:41:02,1612XXXX293,1915XXXX753,"Blocking Filter F , Blocking Filter U",SMPP-AO,Short on cash? We got you covered! Get approved for CASH in 10 min.100% Secure Bad credit -OK! Grab your CASH NOW! www. REDACTED/cash to opt out reply stop
XX/XX/2015  08:14:11,1626XXXX021,1915XXXX460,Blocking Filter F,SMPP-AO,Do you have 2 or more outstanding cash advances? We can help get rid of them. Call XXXXXXXXXX This is not a loan program Reply STOP 4 DNC
XX/XX/2015  08:49:28,1631XXXX082,1915XXXX453,Blocking Filter U,SMPP-AO,You were chosen to test the Galaxy s4 before its released and keep it. Go to www.sendREDACTED.com to get it now
XX/XX/2015  08:49:31,1973XXXX274,1915XXXX453,Blocking Filter U,SMPP-AO,You were chosen to test the Galaxy s4 before its released and keep it. Go to www.sendREDACTED.com to get it now
XX/XX/2015  10:39:14,1617XXXX182,1915XXXX424,"Blocking Filter F , Blocking Filter U",SMPP-AO,You were picked to test the Iphone 6 before its released and keep it. Enter your info at www.sendREDACTED.com to get it now
XX/XX/2015  10:23:31,1908XXXX379,1915XXXX944,Blocking Filter U,SMPP-AO,You were chosen to test the Samsung Galaxy S4 before its released and keep it. Go to www.sendREDACTED.com to get it now
XX/XX/2015  08:11:09,1740XXXX110,1915XXXX640,"Blocking Filter F , Blocking Filter U",SMPP-AO,Short on cash? We got you covered! Get approved for CASH in 10 min.100% Secure Bad credit -OK! Grab your CASH NOW! www. REDACTED/cash to opt out reply stop
